date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-07-10,511.149875397,76.51727083333333,0.6679583333333333,9.901833333333332,1018.137625,3.6389722222222223,201.32361111111112,0.000463125,0.1793333333333333,Clear,7,10,Sunday,1,3,Summer,0,6.238617307588557
2016-07-11,703.611503152,75.82943055555556,0.704875,9.614458333333332,1016.918826388889,5.955395833333333,220.40416666666667,0.0039702083333333,0.1172986111111111,Clear,7,11,Monday,0,3,Summer,0,6.557646591564392
2016-07-12,581.986587238,73.22553472222222,0.5794305555555556,9.930451388888889,1016.7222986111112,8.578597222222223,289.2993055555556,0.0001227083333333,0.1575069444444444,Clear,7,12,Tuesday,0,3,Summer,0,6.36816417963301
2016-07-13,893.500497195,66.92441666666667,0.5995069444444444,9.819777777777777,1021.943548611111,4.810611111111111,279.4715277777778,0.0,0.0762638888888889,Clear,7,13,Wednesday,0,3,Summer,0,6.796265458784282
2016-07-14,909.80206388,71.75725694444444,0.6118263888888889,9.8943125,1019.4729583333334,5.137902777777778,240.64305555555555,0.0,0.0475,Clear,7,14,Thursday,0,3,Summer,0,6.814325600194922
2016-07-15,969.386960935,79.63338888888889,0.6292916666666667,9.920416666666666,1011.2931597222222,7.509791666666667,219.93680555555557,0.0005660416666666,0.1421388888888889,Clear,7,15,Friday,0,3,Summer,0,6.87769492074546
2016-07-16,893.891414456,78.27645138888889,0.5989791666666666,9.746645833333334,1010.2165555555556,8.470868055555554,282.1513888888889,0.0002058333333333,0.0874444444444444,Clear,7,16,Saturday,1,3,Summer,0,6.7967023862842595
2016-07-17,1037.194015175,74.33278472222223,0.6147083333333333,9.644979166666667,1014.9935833333334,4.5588125,258.7006944444444,0.0,0.0590694444444444,Clear,7,17,Sunday,1,3,Summer,0,6.945237958759869
2016-07-18,1049.473441369,77.14972916666667,0.6998333333333333,9.943972222222222,1011.1047430555556,5.854527777777778,218.76597222222225,0.0016466666666666,0.0871041666666666,Clear,7,18,Monday,0,3,Summer,0,6.956996238070174
2016-07-19,576.877535771,76.55713194444445,0.6241597222222222,9.896375,1011.6025833333332,7.630006944444444,263.4125,0.0,0.1342083333333333,Clear,7,19,Tuesday,0,3,Summer,0,6.359361970394803
2016-07-20,792.257797299,76.18596527777777,0.6068541666666667,9.913444444444444,1012.720201388889,3.714631944444444,262.3208333333333,0.0,0.08425,Clear,7,20,Wednesday,0,3,Summer,0,6.676148259975664
2016-07-21,673.154501607,79.39251388888889,0.6397152777777778,9.265020833333333,1011.5284930555556,3.4813888888888886,233.96597222222223,0.0045370138888888,0.1584236111111111,Clear,7,21,Thursday,0,3,Summer,0,6.513459315513845
2016-07-22,631.542512147,73.39244444444444,0.7602569444444445,9.144916666666669,1012.9509930555556,4.3496041666666665,71.82013888888889,0.0019229861111111,0.1608888888888889,Clear,7,22,Friday,0,3,Summer,0,6.449747431223623
2016-07-23,474.757212782,73.27422222222222,0.7574166666666667,8.370625,1017.4281319444444,3.6881875,97.89722222222224,0.0296947916666666,0.3559513888888889,Clear,7,23,Saturday,1,3,Summer,0,6.164907666927335
2016-07-24,511.415280192,69.82520833333334,0.8368055555555556,9.136972222222225,1018.6565694444444,4.7569791666666665,44.34027777777778,0.006080625,0.4310694444444444,Light Rain,7,24,Sunday,1,3,Summer,0,6.239135390405425
2016-07-25,1220.262427133,68.32188888888889,0.8257569444444444,8.987104166666667,1019.2599305555556,3.692368055555556,48.41180555555555,0.0270751388888888,0.5886666666666667,Clear,7,25,Monday,0,3,Summer,0,7.107640379053838
2016-07-26,1157.56541427,67.2416388888889,0.747138888888889,8.494048611111111,1021.3869791666668,2.8183125,59.56458333333333,8.298611111111112e-05,0.1870625,Clear,7,26,Tuesday,0,3,Summer,0,7.054937806905036
2016-07-27,795.52401731,69.64003472222223,0.6489027777777777,9.5166875,1021.0409236111112,4.402020833333333,219.17430555555555,0.0,0.0785347222222222,Clear,7,27,Wednesday,0,3,Summer,0,6.680257282454816
2016-07-28,1031.776233234,72.49311805555556,0.6618055555555555,9.8111875,1016.7824166666668,6.045631944444444,195.46180555555551,0.0,0.0914236111111111,Clear,7,28,Thursday,0,3,Summer,0,6.940005827294377
2016-07-29,1122.142997996,76.49170833333334,0.6902777777777778,9.866208333333333,1007.7557847222224,7.450736111111111,210.93541666666667,0.0032011111111111,0.1659097222222222,Clear,7,29,Friday,0,3,Summer,0,7.023886282336304
2016-07-30,1443.061328955,73.83370138888888,0.6418402777777777,9.396944444444443,1009.1879513888888,6.246229166666667,294.19305555555553,4.076388888888889e-05,0.1197569444444444,Clear,7,30,Saturday,1,3,Summer,0,7.275214790126364
2016-07-31,706.289135349,71.731125,0.6065347222222222,9.966555555555557,1016.140826388889,4.475416666666667,220.63541666666663,0.0,0.0918541666666666,Clear,7,31,Sunday,1,3,Summer,0,6.561439543184536
2016-08-01,898.394836971,70.926875,0.6169444444444444,9.865020833333332,1021.7184791666668,4.9728819444444445,236.62708333333333,0.0,0.0638541666666666,Clear,8,1,Monday,0,3,Summer,0,6.801722133794224
2016-08-02,537.033488339,74.39478472222223,0.8214027777777777,9.088736111111112,1020.6101875,6.146027777777778,186.29583333333332,0.0146497916666666,0.3816527777777778,Clear,8,2,Tuesday,0,3,Summer,0,6.287920804207855
2016-08-03,669.472502678,79.43185416666667,0.8140763888888889,7.774916666666666,1016.7403263888888,3.916736111111111,202.86875,0.0034769444444444,0.1937013888888888,Clear,8,3,Wednesday,0,3,Summer,0,6.507982691706296
